Country,count,Area,Density
W. Sahara,5,"266,000",1.8797E-05
Botswana,10,566730,1.76451E-05
Mauritania,18,1030700,1.74639E-05
Australia,114,7692020,1.48206E-05
Canada,96,9093510,1.0557E-05
Kazakhstan,27,2699700,1.00011E-05
North Korea,1,"120,540",8.296E-06
South Vietnam,1,"173,809",5.75344E-06
Turkmenistan,2,469930,4.25595E-06
Greenland,0,410450,0
Mongolia,0,1553560,0
